stage_id,stage_name,cryosparc_job_type,parameter_name,lab_value,lab_note,official_tutorial_value,data_source,confidence,diff_from_official,parameter_role,category,tuning_guidance
0.0,前置操作,终端命令,赋权命令,setfacl -m u:cryosparcuser:rwx -R 【数据目录】,需确认工作站站点（225/226/227）；文件非软连接是实际路径,N/A,lab_excel,official_sop,新增,运维,系统操作,需根据实际路径和用户名修改
1.1,数据导入,Import Movies,micrographs_data_path,../MotionCorr/job002/Movies/*EER.mrc,注意输入的是 motion-corrected 之后的 .mrc 不是原始 .eer,../MotionCorr/job*/Movies/*.mrc,lab_excel,official_sop,路径结构不同,路径,数据处理,根据实际 motion correction 输出目录调整
1.1,数据导入,Import Movies,pixel_size_angstrom,0.96,,0.5585,lab_excel,official_sop,实验室常用单颗粒数据采集模式，与官方 Tutorial 不同,核心物理参数,数据采集,300kV Titan Krios 采集参数
1.1,数据导入,Import Movies,accelerating_voltage_kv,300,Titan Krios,200,lab_excel,official_sop,300kV vs 200kV，信号更强,核心物理参数,数据采集,根据实际显微镜配置
1.1,数据导入,Import Movies,spherical_aberration_mm,2.7,Cs 值,2.7,lab_excel,official_sop,一致,核心物理参数,数据采集,一般不变
1.1,数据导入,Import Movies,total_exposure_dose,50,单位 e⁻/Å²,69,lab_excel,official_sop,比官方低，不同的采集策略,核心物理参数,数据采集,根据样品耐受度和采集策略调整
1.2,CTF估算,Patch CTF Estimation,num_gpus,视情况,根据可用 GPU 调整,视情况,lab_excel,reasonable_inference,一致,计算资源,并行加速,多 GPU 可显著加速
1.3,照片筛选,Curate Exposures,筛选标准,手动交互式筛选,删除像散过高/冰层太厚/污染/破损/CTF fit 差的照片,N/A,lab_excel,official_sop,新增（官方为自动化）,质控,质量筛选,需要人工经验判断
2.1,Blob挑颗粒,Blob Picker,min_particle_diameter_angstrom,Pymol 测定值 (max=min),通过数据库结构模型在 PyMOL 中测定蛋白外接圆直径,50,lab_excel,reasonable_inference,蛋白特异性参数,颗粒识别,挑颗粒,需在 PyMOL 中测量
2.1,Blob挑颗粒,Blob Picker,max_particle_diameter_angstrom,同 min,,50,lab_excel,reasonable_inference,与 min 相同（圆形假设）,颗粒识别,挑颗粒,一般保持 max=min
2.1,Blob挑颗粒,Blob Picker,min_separation_dist_diameters,0.6,,0.5,lab_excel,reasonable_inference,略高于官方默认值,颗粒识别,挑颗粒,控制相邻颗粒最小间距
2.1,Blob挑颗粒,Blob Picker,max_local_maxima,400,视颗粒数量灵活调整,300,lab_excel,reasonable_inference,比官方默认值高,颗粒识别,挑颗粒,颗粒多则加少则减
2.2,Topaz训练,Topaz Train,topaz_executable_path,/home/software/miniconda3/envs/topaz/bin/topaz,,N/A,lab_excel,official_sop,新增（官方无 Topaz）,环境,软件路径,根据服务器安装路径调整
2.2,Topaz训练,Topaz Train,num_parallel_processes,16,默认参数,N/A,lab_excel,official_sop,新增,计算资源,并行加速,一般保持默认
2.2,Topaz训练,Topaz Train,expected_particles,450（可调）,根据单张 micrograph 颗粒数量灵活调整——颗粒多则加、少则减。一般设 400 左右起步,N/A,lab_excel,official_sop,新增,核心参数,深度学习训练,根据实际颗粒密度调整，训练曲线判读过拟合
2.2,Topaz训练,Topaz Train,训练集照片数,约 1000 张,太多计算慢太少训练不足,N/A,lab_excel,reasonable_inference,新增,数据准备,深度学习训练,通过 Curate Exposures 的 Threshold 调整
2.3,Topaz提取,Topaz Extract,topaz_executable_path,/home/software/miniconda3/envs/topaz/bin/topaz,,N/A,lab_excel,official_sop,新增,环境,软件路径,同 Topaz Train
2.3,Topaz提取,Topaz Extract,num_parallel_processes,16,默认参数,N/A,lab_excel,official_sop,新增,计算资源,并行加速,一般保持默认
